"country","solar","wind","nuclear","gas","coal"
"Argentina",2.91,14.02,7.47,80.75,2.69
"Australia",33.49,29.17,0,47.14,118.93
"Austria",2.73,6.93,0,11.76,0.14
"Bangladesh",0.65,0.01,0,51.6,12.2
"Belgium",7.35,12.07,44.13,23.12,0.04
"Bolivia",0.49,0.48,0,6.53,0
"Bosnia and Herzegovina",0.13,0.42,0,0,9.99
"Brazil",26.48,80,14.54,48.87,15.65
"Bulgaria",1.72,1.43,16.46,2.91,21.39
"Burundi",0.01,0,0,0,0
"Canada",5.56,38.13,82.28,67.09,40.74
"Chile",14.52,8.82,0,15.89,19.16
"China",420.35,800.52,417.63,276.51,5421.19
"Colombia",0.49,0.07,0,12.12,4.36
"Costa Rica",0.06,1.36,0,0,0
"Croatia",0.15,2.27,0,3.63,1.54
"Cyprus",0.61,0.22,0,0,0
"Czechia",2.51,0.65,30.99,6.65,36.97
"Denmark",1.99,18.94,0,1.03,3.62
"Ecuador",0.04,0.06,0,0.22,0
"Egypt",5.05,4.23,0,137.89,0
"El Salvador",1.1,0.02,0,1.04,0
"Estonia",0.53,0.63,0,0.04,0
"Finland",0.3,12.1,25.06,1.32,2.97
"France",19.98,38.46,297.2,43,4.4
"Georgia",0,0.08,0,3.39,0
"Germany",58.98,126.1,36.51,96.31,181
"Greece",6.62,10.86,0,19.56,5.46
"Hungary",4.47,0.61,15.85,8.86,2.9
"India",95.17,70.05,46.29,49.85,1363.1
"Indonesia",0.44,0.36,0,56.71,205.31
"Iran",0.67,1.13,3.54,293.94,0.66
"Ireland",0.09,11.2,0,16.53,2.47
"Italy",27.73,19.91,0,141.34,21.19
"Japan",98.69,9.15,51.79,330.35,318.3
"Kazakhstan",1.41,2.28,0,32.17,67.73
"Kenya",0.3,1.68,0,0,0
"Kosovo",0.02,0.34,0,0,10.11
"Latvia",0.01,0.19,0,1.41,0
"Lithuania",0.43,1.59,0,0.61,0
"Luxembourg",0.22,0.32,0,0.09,0
"Malaysia",2.01,0,0,68.71,75.47
"Malta",0,0,0,1.94,0
"Mexico",13.39,20.23,10.36,190.8,20.9
"Moldova",0.01,0.08,0,1.41,3.6
"Mongolia",0.14,0.42,0,0,6.63
"Montenegro",0,0.32,0,0,1.54
"Netherlands",16.83,21.61,4.14,47.9,14.6
"New Zealand",0.2,3.2,0,5.85,0.03
"Nigeria",0.05,0,0,22.63,0.57
"North Macedonia",0.03,0.14,0,1.55,3.4
"Norway",0.17,15.89,0,0.78,0.04
"Oman",0.16,0,0,36.93,0
"Pakistan",1.43,4.12,22.43,53.68,14.45
"Peru",0.85,1.96,0,21.36,0.55
"Philippines",1.81,0.95,0,14.31,52.21
"Poland",8.15,19.76,0,12.61,124.1
"Portugal",3.07,13.27,0,17.36,0.06
"Qatar",0.01,0,0,45.87,0
"Romania",1.79,7.07,11.28,9.94,10.44
"Russia",2.64,5.62,226.43,479.02,196.63
"Serbia",0.01,1.73,0,1.8,23.71
"Singapore",0.94,0,0,51.39,0
"Slovakia",0.69,0,15.9,2.19,1.54
"Slovenia",0.44,0.01,5.59,0.47,3.21
"South Africa",6.21,9.69,10.07,0,182.29
"South Korea",29.09,3.37,168.58,170.38,205.77
"Spain",32.77,61.85,58.43,87,7.62
"Sweden",2.34,33.24,51.22,0.29,0.01
"Switzerland",2.7,0.06,23.01,0,0
"Taiwan",10.69,3.53,23.76,112.63,122.16
"Thailand",5.02,3,0,122.09,37.89
"Tunisia",0.41,0.42,0,19.39,0
"Turkey",15.84,35.14,0,75.7,111.08
"Ukraine",5.97,1.22,64.99,4.6,22.18
"United Kingdom",13.91,79.98,48.16,127.55,5.23
"United States",204.29,434.81,771.54,1689.46,828.99
"Uruguay",0.48,4.8,0,2.19,0
"Vietnam",26.29,8.65,0,27.85,99.52
"World",1289.27,2139.23,2610.04,6309.46,10190.71
